Product name in Flipkart,Retail price in Flipkart,Discounted price in Flipkart,Product id,Product category in Flipkart,Product name in Amazon,Retail price in Amazon,Discounted price in Amazon,Product category,match
HM International Bheem Printed Art Plastic Pencil Box,599.0,270.0,PBXED67JVPPSGVWE,ToysSchoolSupplies,HM International Bheem Printed Art Plastic Pencil Box,598,301,ToysSchoolSupplies,1
Etti ESJ19 Glass Necklace,1000.0,299.0,NKCE7ZNGWZBHRMGY,Jewellery,Etti ESJ19 Glass Necklace,986,377,Jewellery,1
Giftwallas Crystal Necklace,499.0,299.0,NKCEFKBYHXQ8VVF8,Jewellery,Giftwallas Crystal Necklace,498,353,Jewellery,1
DressBerry Enamel Plated Metal Necklace,399.0,219.0,NKCEBHGBAFBCXXYC,Jewellery,DressBerry Enamel Plated Metal Necklace,385,268,Jewellery,1
Gurjari Multybeads Brass Plated Brass Choker,250.0,200.0,NKCE9RCW6ECJXWZW,Jewellery,Gurjari Multybeads Brass Plated Brass Choker,243,258,Jewellery,1
Apple MC414HN/A,7000.0,7000.0,RTREBZRGQGCZJ7ZG,Computers,Apple MC414HN/A,6990,8510,Computers,1
Falconoverseas Style Diva Brass Necklace,600.0,247.0,NKCE9ABEZJ4HWTZZ,Jewellery,Falconoverseas Style Diva Brass Necklace,585,315,Jewellery,1
Cinthol Deo Spray - Dive + Energy Combo Set,349.0,349.0,CAGE7UCEDBWHWF48,BeautyandPersonalCare,Cinthol Deo Spray - Dive + Energy Combo Set,344,445,BeautyandPersonalCare,1
"Estella Fashion Acrylic, Alloy Necklace",1100.0,399.0,NKCEF9GTMZD4JZW3,Jewellery,"Estella Fashion Acrylic, Alloy Necklace",1082,439,Jewellery,1
Neo Gold leaf Fancy School Art Plastic Pencil Box,299.0,199.0,PBXEACG2FBGPQKWG,ToysSchoolSupplies,Neo Gold leaf Fancy School Art Plastic Pencil Box,289,254,ToysSchoolSupplies,1
"Jewel Touch Princess Style With Flower Brooch Acrylic, Fabric Necklace",950.0,325.0,NKCEAMEVUVZMYRTZ,Jewellery,"Jewel Touch Princess Style With Flower Brooch Acrylic, Fabric Necklace",942,375,Jewellery,1
Fashion Pitaraa Metal Necklace,590.0,354.0,NKCEBF3YCBJCN6AN,Jewellery,Fashion Pitaraa Metal Necklace,580,432,Jewellery,1
Kamasutra Combo Set,380.0,320.0,CAGE2XC2HFSSQNSM,BeautyandPersonalCare,Kamasutra Combo Set,362,408,BeautyandPersonalCare,1
DressBerry Crystal Enamel Plated Metal Necklace,699.0,314.0,NKCECYGG2EHHKG4D,Jewellery,DressBerry Crystal Enamel Plated Metal Necklace,685,394,Jewellery,1
Havells Havells - Oro 10 One Way Electrical Switch,510.0,495.0,SCHE3Z7Q3TSVYMRP,HomeImprovement,Havells Havells - Oro 10 One Way Electrical Switch,502,643,HomeImprovement,1
Fashion Jewellery Alloy Necklace,699.0,239.0,NKCEANMPGYRNMZJP,Jewellery,Fashion Jewellery Alloy Necklace,683,267,Jewellery,1
Denver Deodorant No-13 Gift Set  Combo Set,360.0,324.0,CAGE53FSKAYSFUXG,BeautyandPersonalCare,Denver Deodorant No-13 Gift Set  Combo Set,349,365,BeautyandPersonalCare,1
Greek Sojourn Brass Plated Acrylic Necklace,499.0,249.0,NKCEASCZVVYGPQNQ,Jewellery,Greek Sojourn Brass Plated Acrylic Necklace,497,304,Jewellery,1
Zero Gravity Pack Combo Set,480.0,345.0,CAGE4DWQQYHVPD8C,BeautyandPersonalCare,Zero Gravity Pack Combo Set,461,404,BeautyandPersonalCare,1
Imagine Products Golden Leaf Neck Piece Metal Necklace,1299.0,455.0,NKCE76TN4Z5ZQHH3,Jewellery,Imagine Products Golden Leaf Neck Piece Metal Necklace,1292,505,Jewellery,1
Anna Andre Paris Set of Treasure & Red Horizon Deodorants (160ml each) Combo Set,355.0,249.0,CAGE5RNE4JVBXZBX,BeautyandPersonalCare,Anna Andre Paris Set of Treasure & Red Horizon Deodorants (160ml each) Combo Set,335,279,BeautyandPersonalCare,1
Gurjari Thread Brass Plated Brass Necklace,250.0,200.0,NKCE9RCWPGWJMKG6,Jewellery,Gurjari Thread Brass Plated Brass Necklace,234,260,Jewellery,1
Edimax BR-6428NS V2,1900.0,1900.0,RTRDZBJ5HJUQPHUB,Computers,Edimax BR-6428NS V2,1881,2372,Computers,1
Imli Street Metal Necklace,500.0,350.0,NKCE5T3GPPUBSWWW,Jewellery,Imli Street Metal Necklace,486,387,Jewellery,1
Jovan Satisfaction and White Musk Combo Set,340.0,321.0,CAGE6DFWETTR4MUU,BeautyandPersonalCare,Jovan Satisfaction and White Musk Combo Set,332,367,BeautyandPersonalCare,1
Ryka Transformer Cartoon Art Rexine Cloth Pencil Box,380.0,230.0,PBXE9YFBMZ7EZZPR,ToysSchoolSupplies,Ryka Transformer Cartoon Art Rexine Cloth Pencil Box,374,290,ToysSchoolSupplies,1
JDX Alloy Necklace,599.0,299.0,NKCE4VA4M2ZKZGUY,Jewellery,JDX Alloy Necklace,583,336,Jewellery,1
Frabjous Alloy Necklace,499.0,399.0,NKCEBDYGDGFYNGGY,Jewellery,Frabjous Alloy Necklace,495,485,Jewellery,1
iBall 300M extreme Wireless-N Router,1899.0,1144.0,RTREBVK9HX8XJH2T,Computers,iBall 300M extreme Wireless-N Router,1891,1441,Computers,1
Jewel Touch Spiritual Gold Double Leaf Shape Alloy Necklace,950.0,299.0,NKCE966EN2EBAFMH,Jewellery,Jewel Touch Spiritual Gold Double Leaf Shape Alloy Necklace,932,380,Jewellery,1
"Denver Rage,Force Gift Set  Combo Set",375.0,355.0,CAGE75DFM4UF6ZDF,BeautyandPersonalCare,"Denver Rage,Force Gift Set  Combo Set",359,438,BeautyandPersonalCare,1
Legrand Legrand Arteor 573601 6A Indicator Mg Switch 6 One Way Electrical Switch,238.0,204.0,SCHE4YSTKWAAZH7X,HomeImprovement,Legrand Legrand Arteor 573601 6A Indicator Mg Switch 6 One Way Electrical Switch,218,244,HomeImprovement,1
Jadoo Collections Ethnic Red Alloy Necklace,599.0,299.0,NKCEAZ6FHBD9SDGX,Jewellery,Jadoo Collections Ethnic Red Alloy Necklace,581,363,Jewellery,1
Enwraps Utility Pouch Army Miniature Bag Abstract Art Cloth Pencil Box,359.0,359.0,PBXEBQGMBRP5ERWZ,PensStationery,Enwraps Utility Pouch Army Miniature Bag Abstract Art Cloth Pencil Box,358,414,PensStationery,1
"Ethnochic Brass Plated Brass, Glass, Alloy Necklace",350.0,300.0,NKCE6WR3ZWHWKEPQ,Jewellery,"Ethnochic Brass Plated Brass, Glass, Alloy Necklace",347,372,Jewellery,1
Fogg Magnatic Combo Set,398.0,390.0,CAGED275PAD86Z6G,BeautyandPersonalCare,Fogg Magnatic Combo Set,396,502,BeautyandPersonalCare,1
Juhi Malhotra Ceramic Choker,450.0,450.0,NKCEFNPJ5M9JZJR7,Jewellery,Juhi Malhotra Ceramic Choker,442,568,Jewellery,1
Linksys RE2000 Wireless Range Extender N300 Dual Band,7999.0,5350.0,RTRDQ9YMUHW7PYYE,Computers,Linksys RE2000 Wireless Range Extender N300 Dual Band,7983,6433,Computers,1
"Gia White Gold Plated Alloy, Metal Necklace",599.0,329.0,NKCE9GY4SYA5JJW4,Jewellery,"Gia White Gold Plated Alloy, Metal Necklace",589,416,Jewellery,1
Chhota Bheem CB & Friends Printed Art Plastic Pencil Box,189.0,179.0,PBXE8GDHCSRVDNYP,ToysSchoolSupplies,Chhota Bheem CB & Friends Printed Art Plastic Pencil Box,179,222,ToysSchoolSupplies,1
Gemstone Pioneer Brass Necklace,1866.0,499.0,NKCE6SR4HR8H87TY,Jewellery,Gemstone Pioneer Brass Necklace,1859,602,Jewellery,1
Shopaholic Barbie Cartoon Art Plastic Pencil Box,999.0,629.0,PBXECDBWKHNKGEGD,ToysSchoolSupplies,Shopaholic Barbie Cartoon Art Plastic Pencil Box,982,697,ToysSchoolSupplies,1
Homeshopeez Double Side - Green - Mgt Character Art Plastic Pencil Box,399.0,199.0,PBXEBESSDYBYUGXT,PensStationery,Homeshopeez Double Side - Green - Mgt Character Art Plastic Pencil Box,395,255,PensStationery,1
Jewelizer Just Like Diamonds Crystal Yellow Gold Plated Alloy Necklace,1299.0,499.0,NKCEDH9ANZGDAUWG,Jewellery,Jewelizer Just Like Diamonds Crystal Yellow Gold Plated Alloy Necklace,1291,564,Jewellery,1
Homefoster Cotton Dori Necklace,325.0,325.0,NKCEB7935AJSADGR,Jewellery,Homefoster Cotton Dori Necklace,307,414,Jewellery,1
Karta Car With Calculator & Dual Sharpner Art Plastic Pencil Box,449.0,185.0,PBXEC8ASYZ7YS7EZ,PensStationery,Karta Car With Calculator & Dual Sharpner Art Plastic Pencil Box,441,206,PensStationery,1
"Indian Charm Multicolor Beads Metal, Bone Necklace",525.0,467.0,NKCE6SR4FAJTR6ZF,Jewellery,"Indian Charm Multicolor Beads Metal, Bone Necklace",516,537,Jewellery,1
IESD Metal Necklace,350.0,300.0,NKCE5TFVDZFG4Q54,Jewellery,IESD Metal Necklace,338,376,Jewellery,1
Edimax BR-6288ACL,4999.0,2840.0,RTRECC5QVCHZ4JT5,Computers,Edimax BR-6288ACL,4995,3535,Computers,1
Hi Look Alloy Necklace,445.0,325.0,NKCDTAXFKDTPHKTB,Jewellery,Hi Look Alloy Necklace,428,374,Jewellery,1
Tenda A6,1800.0,1399.0,RTRDNGVME4HGYAM8,Computers,Tenda A6,1786,1682,Computers,1
Indsights Trendsvilla Brass Plated Alloy Necklace,999.0,299.0,NKCE9ZGXGSETFAZU,Jewellery,Indsights Trendsvilla Brass Plated Alloy Necklace,983,349,Jewellery,1
RSI Jumbo Princess Art Plastic Pencil Box,699.0,625.0,PBXEBYHYS3UXVBE5,PensStationery,RSI Jumbo Princess Art Plastic Pencil Box,698,791,PensStationery,1
iBall 300M Wireless-N ADSL2+ 3G Router,2700.0,2050.0,RTRDYPA4PJHCJCGF,Computers,iBall 300M Wireless-N ADSL2+ 3G Router,2688,2638,Computers,1
Gemstone Pioneer Brass Necklace,1866.0,499.0,NKCE6SR4XGEMHY2T,Jewellery,Gemstone Pioneer Brass Necklace,1862,621,Jewellery,1
Engage Urge-Mate Combo Set,360.0,284.0,CAGDVVX97KZEH2EJ,BeautyandPersonalCare,Engage Urge-Mate Combo Set,347,323,BeautyandPersonalCare,1
Indian Charm Glass Necklace,499.0,449.0,NKCE8RB5WSWKJPFR,Jewellery,Indian Charm Glass Necklace,487,541,Jewellery,1
Dora Series Dora Art Satin Pencil Box,329.0,131.0,PBXEAJHVVCHEY59Y,PensStationery,Dora Series Dora Art Satin Pencil Box,315,158,PensStationery,1
Real Madrid No 7 Gift Set,495.0,349.0,CAGDZVGTV3SMMMBY,BeautyandPersonalCare,Real Madrid No 7 Gift Set,482,423,BeautyandPersonalCare,1
Jovifashion Alloy Necklace,450.0,350.0,NKCED8FXMJQYJJTP,Jewellery,Jovifashion Alloy Necklace,440,421,Jewellery,1
Hand to Hearts Metal Necklace,500.0,450.0,NKCEC87GZMWYCMUG,Jewellery,Hand to Hearts Metal Necklace,481,570,Jewellery,1
Playboy London And Berlin Combo Set,398.0,388.0,CAGE4BQXSJPTBUS4,BeautyandPersonalCare,Playboy London And Berlin Combo Set,385,485,BeautyandPersonalCare,1
Itzmyfashion Alloy Necklace,500.0,349.0,NKCE8HSQEKWFAUYS,Jewellery,Itzmyfashion Alloy Necklace,497,447,Jewellery,1
"Alex's Mickey Mickey, Donald Duck Art Plastic Pencil Box",799.0,399.0,PBXEBYHC4S5BQYDA,ToysSchoolSupplies,"Alex's Mickey Mickey, Donald Duck Art Plastic Pencil Box",797,473,ToysSchoolSupplies,1
Juhi Malhotra Edgy Grey Cotton Dori Choker,599.0,499.0,NKCEB3XAPG6RCCFS,Jewellery,Juhi Malhotra Edgy Grey Cotton Dori Choker,598,597,Jewellery,1
Xlr8 Activ Sizzle Combo Set,330.0,300.0,CAGED6GKXJKPSN8Z,BeautyandPersonalCare,Xlr8 Activ Sizzle Combo Set,329,337,BeautyandPersonalCare,1
FashBlush Forever New BlackBead & LongChain Alloy Necklace,4999.0,279.0,NKCE6526NSRGNZN9,Jewellery,FashBlush Forever New BlackBead & LongChain Alloy Necklace,4981,354,Jewellery,1
TP-LINK TL-MR3220 3G/4G Wireless N Router,2899.0,1531.0,RTRD8FNG6FUTFZQJ,Computers,TP-LINK TL-MR3220 3G/4G Wireless N Router,2882,1874,Computers,1
Galz4ever Black & Silver Seed Bead Alloy Necklace,279.0,229.0,NKCEAGXHHF2ZFZEZ,Jewellery,Galz4ever Black & Silver Seed Bead Alloy Necklace,270,274,Jewellery,1
Yardley Jasmine and Lace Satin Combo Set,360.0,360.0,CAGE6FYKHZ52FSC3,BeautyandPersonalCare,Yardley Jasmine and Lace Satin Combo Set,356,411,BeautyandPersonalCare,1
"Gia Exclusive Pretty Pink Enamel, Metal Necklace",799.0,499.0,NKCEBQ7CRZQSNHHZ,Jewellery,"Gia Exclusive Pretty Pink Enamel, Metal Necklace",782,618,Jewellery,1
Tenda TE-D820R,1400.0,799.0,RTRDZK8XDZTJDJFN,Computers,Tenda TE-D820R,1393,951,Computers,1
Junk Diva Glass Necklace,365.0,315.0,NKCECFGDJGFGXYK3,Jewellery,Junk Diva Glass Necklace,347,391,Jewellery,1
"Denver RO,Force Combo Set",360.0,349.0,CAGE75HSTPYGJGUA,BeautyandPersonalCare,"Denver RO,Force Combo Set",344,421,BeautyandPersonalCare,1
Jewel Paradise Brass Plated Brass Necklace,599.0,399.0,NKCE9PFFYD3PETHP,Jewellery,Jewel Paradise Brass Plated Brass Necklace,587,449,Jewellery,1
Engage Combo Set,540.0,450.0,CAGDUNH3FHZWCVKN,BeautyandPersonalCare,Engage Combo Set,529,565,BeautyandPersonalCare,1
Engross Metal Necklace,1075.0,484.0,NKCE2F5HKUY2555B,Jewellery,Engross Metal Necklace,1058,626,Jewellery,1
Spinz Combo Set,599.0,354.0,CAGE38D7F5XQSYNC,BeautyandPersonalCare,Spinz Combo Set,587,404,BeautyandPersonalCare,1
Fab Fashion Alloy Necklace,1080.0,486.0,NKCEC87RGJPXNK7P,Jewellery,Fab Fashion Alloy Necklace,1061,570,Jewellery,1
"Park Avenue Believe Spray ,Four Seasons EDP Combo Set",389.0,389.0,CAGE9ABAW2FEMYCG,BeautyandPersonalCare,"Park Avenue Believe Spray ,Four Seasons EDP Combo Set",385,486,BeautyandPersonalCare,1
Jewel Paradise Brass Plated Brass Necklace,599.0,399.0,NKCE9PFFAEFG79WH,Jewellery,Jewel Paradise Brass Plated Brass Necklace,580,515,Jewellery,1
Tenda N60,7500.0,3600.0,RTRDNGVMSXKSREUJ,Computers,Tenda N60,7491,4542,Computers,1
Hi Look Alloy Necklace,695.0,265.0,NKCEFMKXMH4AX4WF,Jewellery,Hi Look Alloy Necklace,682,337,Jewellery,1
Tenda F300,2500.0,1196.0,RTRE6Y4UUCDRGMN2,Computers,Tenda F300,2489,1458,Computers,1
"Envoy Ziggie Alloy, Acrylic Necklace",249.0,249.0,NKCE73V3DADAVHDU,Jewellery,"Envoy Ziggie Alloy, Acrylic Necklace",248,305,Jewellery,1
JDX Alloy Necklace,450.0,299.0,NKCE3Y5PDN4U66HC,Jewellery,JDX Alloy Necklace,436,384,Jewellery,1
Karta Frozen Printed Art Plastic Pencil Boxes,989.0,530.0,PBXED6AV4G8BYGNF,ToysSchoolSupplies,Karta Frozen Printed Art Plastic Pencil Boxes,969,608,ToysSchoolSupplies,1
Jadoo Collections Alloy Necklace,699.0,399.0,NKCED6EXXSFZGQP8,Jewellery,Jadoo Collections Alloy Necklace,698,468,Jewellery,1
Benetton Lets Love lets moov Gift Set  Combo Set,999.0,425.0,CAGE75ZXGZPBMZVG,BeautyandPersonalCare,Benetton Lets Love lets moov Gift Set  Combo Set,983,551,BeautyandPersonalCare,1
Jewel Paradise Brass Plated Brass Necklace,599.0,399.0,NKCE9PFFHANGKXHZ,Jewellery,Jewel Paradise Brass Plated Brass Necklace,587,481,Jewellery,1
Fashion Era Metal Necklace,499.0,199.0,NKCE9GY4ZH4Q4K69,Jewellery,Fashion Era Metal Necklace,493,247,Jewellery,1
Nike Azzure Combo Set,500.0,382.0,CAGE8SCPGJQXUWHF,BeautyandPersonalCare,Nike Azzure Combo Set,488,468,BeautyandPersonalCare,1
ETTI Wood Necklace,1000.0,229.0,NKCE9AZMGTGHZ3EK,Jewellery,ETTI Wood Necklace,993,292,Jewellery,1
Tootpado Signature Qiangli Print Art Canvas Pencil Box,99.0,99.0,PBXE8WRNFHB4F8EX,ToysSchoolSupplies,Tootpado Signature Qiangli Print Art Canvas Pencil Box,86,128,ToysSchoolSupplies,1
Jewel Touch Shiny Silver Double Leaf Shape Alloy Necklace,950.0,280.0,NKCE966ERYB8PKTQ,Jewellery,Jewel Touch Shiny Silver Double Leaf Shape Alloy Necklace,949,346,Jewellery,1
Nike Urban Musk Combo Set,500.0,400.0,CAGE8TQ8DYHXBWFF,BeautyandPersonalCare,Nike Urban Musk Combo Set,488,517,BeautyandPersonalCare,1
Galz4ever Multi Bead Pearl Alloy Necklace,399.0,349.0,NKCEAGXHRVHUPPVG,Jewellery,Galz4ever Multi Bead Pearl Alloy Necklace,395,443,Jewellery,1
Nike Casual Combo Set,500.0,410.0,CAGE8SCPQSV7FAZA,BeautyandPersonalCare,Nike Casual Combo Set,481,452,BeautyandPersonalCare,1
Indian Charm Bone Necklace,349.0,314.0,NKCE8RB5TTZHZKCU,Jewellery,Indian Charm Bone Necklace,345,347,Jewellery,1
Onnet 3000OCURRO 3G Wifi Router,2999.0,1850.0,RTRE2XJSG2ZFVFTW,Computers,Onnet 3000OCURRO 3G Wifi Router,2987,2403,Computers,1
Indian Fashion Guru Artificial Jewellery Ceramic Necklace,850.0,449.0,NKCE49ATF8BFHDVP,Jewellery,Indian Fashion Guru Artificial Jewellery Ceramic Necklace,831,519,Jewellery,1
Gillette Sport Protect and Power Rush Combo Set,398.0,380.0,CAGE5QJGHCGQNQVU,BeautyandPersonalCare,Gillette Sport Protect and Power Rush Combo Set,391,481,BeautyandPersonalCare,1
Indian Fashion Guru Artificial Jewellery Ceramic Necklace,800.0,399.0,NKCE49ATR5MVGFTY,Jewellery,Indian Fashion Guru Artificial Jewellery Ceramic Necklace,782,507,Jewellery,1
ISUN ISN V01,2250.0,1599.0,RTRE6CPUD2WJRNMG,Computers,ISUN ISN V01,2230,1841,Computers,1
ETTI ESJ27_MULTI Crystal Glass Necklace,300.0,99.0,NKCE8JUJEUE3HR4H,Jewellery,ETTI ESJ27_MULTI Crystal Glass Necklace,295,109,Jewellery,1
Asus RT-N14U Wireless-N300 Cloud,6999.0,5600.0,RTRDHYYVPHSGSDGA,Computers,Asus RT-N14U Wireless-N300 Cloud,6998,6247,Computers,1
Imagine Products Gold & Black Neck Piece Enamel Necklace,699.0,499.0,NKCE76TNSYX6ZQ9Z,Jewellery,Imagine Products Gold & Black Neck Piece Enamel Necklace,690,565,Jewellery,1
Aero Care La Royal Orange & Ice Combo Set,190.0,165.0,CAGE8PKGSXDHU4ZJ,BeautyandPersonalCare,Aero Care La Royal Orange & Ice Combo Set,171,191,BeautyandPersonalCare,1
Herbal Jewellery Cotton Dori Necklace,999.0,499.0,NKCECFF6WBAYGMSG,Jewellery,Herbal Jewellery Cotton Dori Necklace,983,597,Jewellery,1
Cinthol Deo Spray - Dive + Play + Intense Combo Set,525.0,510.0,CAGE7TVZSDVMHSKW,BeautyandPersonalCare,Cinthol Deo Spray - Dive + Play + Intense Combo Set,519,563,BeautyandPersonalCare,1
"Jiya Fashion Pretties Fabric, Metal Necklace",999.0,400.0,NKCE2F33KCCGEHRX,Jewellery,"Jiya Fashion Pretties Fabric, Metal Necklace",984,441,Jewellery,1
"Park Avenue After 8 EDP , Voyage Deodorant Combo Set",433.0,417.0,CAGE9ABA6MTKHCNM,BeautyandPersonalCare,"Park Avenue After 8 EDP , Voyage Deodorant Combo Set",425,538,BeautyandPersonalCare,1
Kamasutra KS MTV deodorant Combo Set,600.0,379.0,CAGEAFDBEJY56XSE,BeautyandPersonalCare,Kamasutra KS MTV deodorant Combo Set,582,480,BeautyandPersonalCare,1
Euro Style Combo Set,370.0,210.0,CAGDU85YEZTUTEVF,BeautyandPersonalCare,Euro Style Combo Set,361,266,BeautyandPersonalCare,1
Junk karishma Acrylic Necklace,395.0,310.0,NKCEBUPHVBPS9NMR,Jewellery,Junk karishma Acrylic Necklace,393,372,Jewellery,1
Doraemon Polystyrene Pencil Box,79.0,79.0,PBXDT4FTDF2CRQPX,ToysSchoolSupplies,Doraemon Polystyrene Pencil Box,61,96,ToysSchoolSupplies,1
Gia Plastic Necklace,499.0,249.0,NKCE7B6T9H36HZGH,Jewellery,Gia Plastic Necklace,492,323,Jewellery,1
TP-LINK RE200 AC750 Wi-Fi Range Extender,4500.0,3000.0,RTRE38HF433WXQJD,Computers,TP-LINK RE200 AC750 Wi-Fi Range Extender,4482,3481,Computers,1
Hi Look Alloy Necklace,795.0,415.0,NKCDTAXFEWQVP9HE,Jewellery,Hi Look Alloy Necklace,787,499,Jewellery,1
Jovan Satisfaction and Musk Combo Set,340.0,330.0,CAGE6DFWKJZZ5ZSD,BeautyandPersonalCare,Jovan Satisfaction and Musk Combo Set,323,404,BeautyandPersonalCare,1
Indian Charm Glass Necklace,449.0,404.0,NKCE8RB5BFGQYK4G,Jewellery,Indian Charm Glass Necklace,431,453,Jewellery,1
Hotpiper Beautiful Cubic Zirconia Rhodium Plated Acrylic Necklace,1320.0,490.0,NKCECQYZ3R7WTKTZ,Jewellery,Hotpiper Beautiful Cubic Zirconia Rhodium Plated Acrylic Necklace,1304,617,Jewellery,1
Lava W200 3G Router,2999.0,950.0,RTRDK7TWJB6RCNP9,Computers,Lava W200 3G Router,2988,1112,Computers,1
Fashion Jewellery Alloy Necklace,699.0,239.0,NKCE9YFBJMTVANBC,Jewellery,Fashion Jewellery Alloy Necklace,697,265,Jewellery,1
Tootpado Signature Animals Art Plush Pencil Box,149.0,149.0,PBXE77QVTEGMAEDJ,ToysSchoolSupplies,Tootpado Signature Animals Art Plush Pencil Box,135,174,ToysSchoolSupplies,1
Jadoo Collections Alloy Necklace,549.0,249.0,NKCEAX7H3Y9JBGYZ,Jewellery,Jadoo Collections Alloy Necklace,531,291,Jewellery,1
"Laploma 3g Routers & Pocket Routers,Enhance Wifi Range",2999.0,2090.0,RTRE8Q49FPUGNPZQ,Computers,"Laploma 3g Routers & Pocket Routers,Enhance Wifi Range",2985,2623,Computers,1
Junk Glass Necklace,359.0,300.0,NKCE34THCPW5V7FV,Jewellery,Junk Glass Necklace,344,368,Jewellery,1
Nike Trendy Women Gift Set  Combo Set,539.0,380.0,CAGE5JHSRFXM4BEH,BeautyandPersonalCare,Nike Trendy Women Gift Set  Combo Set,521,457,BeautyandPersonalCare,1
Fashblush Plastic Necklace,1999.0,189.0,NKCE842XMYHGN293,Jewellery,Fashblush Plastic Necklace,1987,236,Jewellery,1
Vincent Valentine Paris Set of New Dark & Dark Fire Deodorants Combo Set,360.0,310.0,CAGEYUXVAKNKDUUV,BeautyandPersonalCare,Vincent Valentine Paris Set of New Dark & Dark Fire Deodorants Combo Set,356,377,BeautyandPersonalCare,1
"Indian Charm Beads Bone, Stone Necklace",230.0,207.0,NKCE6SR4Y4G37GRS,Jewellery,"Indian Charm Beads Bone, Stone Necklace",210,241,Jewellery,1
Starmark BTS Baby Doll Art Plastic Pencil Box,179.0,99.0,PBXE829GJ3ESYYMQ,ToysSchoolSupplies,Starmark BTS Baby Doll Art Plastic Pencil Box,175,122,ToysSchoolSupplies,1
"Hotpiper Classic Multicolor Cubic Zirconia, Crystal Yellow Gold Plated Acrylic Necklace",980.0,490.0,NKCEAUABTBMPYSD3,Jewellery,"Hotpiper Classic Multicolor Cubic Zirconia, Crystal Yellow Gold Plated Acrylic Necklace",973,570,Jewellery,1
Adidas Deo Combo Set,398.0,290.0,CAGDUYCCZRGCGCS3,BeautyandPersonalCare,Adidas Deo Combo Set,397,373,BeautyandPersonalCare,1
Indian Heritage Metal Necklace,849.0,499.0,NKCE7AGZESRQGFHG,Jewellery,Indian Heritage Metal Necklace,831,642,Jewellery,1
Neo Gold Leaf Fancy School Art Plastic Pencil Box,599.0,320.0,PBXEA4F5VFXHSCY8,ToysSchoolSupplies,Neo Gold Leaf Fancy School Art Plastic Pencil Box,591,379,ToysSchoolSupplies,1
Jewelizer Alloy Necklace,459.0,229.0,NKCDSW9FCTZDJWQM,Jewellery,Jewelizer Alloy Necklace,455,258,Jewellery,1
Aero Care Ice & Blue 4 Men Combo Set,180.0,165.0,CAGE8PKGBKNCYKJK,BeautyandPersonalCare,Aero Care Ice & Blue 4 Men Combo Set,166,211,BeautyandPersonalCare,1
TP-LINK TL-WR841N 300Mbps Wireless N Router,2500.0,1118.0,RTRD7HN3JJYF6WN2,Computers,TP-LINK TL-WR841N 300Mbps Wireless N Router,2483,1273,Computers,1
Hand to Hearts Stone Necklace,450.0,450.0,NKCEBZN92EJ7PDFH,Jewellery,Hand to Hearts Stone Necklace,430,520,Jewellery,1
PTC Mart Unimass Cartoon Art Plastic Pencil Box,450.0,400.0,PBXEAP3SNEHQQHDB,PensStationery,PTC Mart Unimass Cartoon Art Plastic Pencil Box,433,467,PensStationery,1
DressBerry Metal Necklace,649.0,292.0,NKCEBFWTYSW72YJK,Jewellery,DressBerry Metal Necklace,644,353,Jewellery,1
Axe Deodorant Combo Set Combo Set,360.0,337.0,CAGE6SYMVUA8FPT8,BeautyandPersonalCare,Axe Deodorant Combo Set Combo Set,358,391,BeautyandPersonalCare,1
Hotpiper Beautiful Cubic Zirconia Yellow Gold Plated Acrylic Necklace,880.0,450.0,NKCEBFWTHMVVNRDP,Jewellery,Hotpiper Beautiful Cubic Zirconia Yellow Gold Plated Acrylic Necklace,869,523,Jewellery,1
Wise Guys Micky Mouse Cartoon Art Plastic Pencil Box,799.0,399.0,PBXE6FYZPH3E293Y,ToysSchoolSupplies,Wise Guys Micky Mouse Cartoon Art Plastic Pencil Box,785,461,ToysSchoolSupplies,1
Itzmyfashion Trendy Alloy Necklace,999.0,499.0,NKCE38HEJPZSGBDZ,Jewellery,Itzmyfashion Trendy Alloy Necklace,985,637,Jewellery,1
Juhi Malhotra Ceramic Choker,500.0,399.0,NKCEFNPJYBPDATU6,Jewellery,Juhi Malhotra Ceramic Choker,480,447,Jewellery,1
Tenda FH330,3500.0,1705.0,RTRE7DBH3ZDKADUS,Computers,Tenda FH330,3486,1951,Computers,1
Junk Resin Necklace,699.0,295.0,NKCE4CSZWA3EAF7G,Jewellery,Junk Resin Necklace,690,372,Jewellery,1
Marvel Avenger Superhero Art Plastic Pencil Box,359.0,249.0,PBXE5ZJZZAPAJMKW,ToysSchoolSupplies,Marvel Avenger Superhero Art Plastic Pencil Box,344,317,ToysSchoolSupplies,1
Disney Minii Mouse_spiderman Redamption Combo Set,609.0,399.0,CAGEBZ7UGCZZHVTE,BeautyandPersonalCare,Disney Minii Mouse_spiderman Redamption Combo Set,606,476,BeautyandPersonalCare,1
Indian Charm Red & Blue Poth Beads Glass Necklace,399.0,359.0,NKCE6HZQBDEG8WHT,Jewellery,Indian Charm Red & Blue Poth Beads Glass Necklace,386,442,Jewellery,1
Tara Lifestyle Ben 10 Printed Art Plastic Pencil Boxes,699.0,399.0,PBXEAKKRKZVHERAV,ToysSchoolSupplies,Tara Lifestyle Ben 10 Printed Art Plastic Pencil Boxes,684,478,ToysSchoolSupplies,1
Jewel Paradise Brass Plated Brass Necklace,599.0,399.0,NKCE9PFFPFADV5CA,Jewellery,Jewel Paradise Brass Plated Brass Necklace,590,455,Jewellery,1
